mes,Colombia,Mexico
2026-01,257.22,336.88
2026-02,313.84,336.48
2026-03,279.82,382.39
2026-04,209.62,316.86
2026-05,291.48,308.51
2026-06,310.18,270.34
2026-07,307.31,271.53
2026-08,299.17,271.85
2026-09,273.52,268.92
2026-10,270.12,258.80
2026-11,255.14,247.98
2026-12,257.77,252.79
2027-01,314.65,265.81
2027-02,354.83,279.72
2027-03,338.64,269.87
2027-04,273.56,274.01
2027-05,268.53,270.30
2027-06,278.94,266.61
2027-07,269.07,249.49
2027-08,265.00,241.77
2027-09,259.68,236.93
2027-10,258.06,226.22
